name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Luwero Uganda,2015-07-01,78.9,63.9,70.1,78.9,63.9,70.1,67.4,91.4,0.19,100,45.83,rain,0,0,15.7,3.8,244.6,1014.7,88.0,,196.1,17.0,7,,2015-07-01T06:48:52,2015-07-01T18:59:03,0.48,Rain Partially cloudy,Partly cloudy throughout the day with rain.,rain,remote
Luwero Uganda,2016-07-01,81.1,61.8,70.4,82.0,61.8,70.4,61.9,75.9,0.0,0,0.0,,0,0,16.1,6.9,179.3,1016.3,41.9,6.5,234.2,20.2,8,,2016-07-01T06:49:01,2016-07-01T18:59:12,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Luwero Uganda,2017-07-01,81.9,62.3,70.7,84.3,62.3,70.9,64.1,81.2,0.024,100,20.83,rain,0,0,19.0,7.2,183.5,1013.5,63.5,5.1,217.3,18.8,8,,2017-07-01T06:48:58,2017-07-01T18:59:09,0.25,Rain Partially cloudy,Partly cloudy throughout the day with rain in the morning and afternoon.,rain,remote
Luwero Uganda,2018-07-01,80.0,61.4,69.0,80.0,61.4,69.0,64.3,86.1,0.142,100,25.0,rain,0,0,12.8,8.1,210.7,1012.5,69.9,4.5,200.3,17.2,7,,2018-07-01T06:48:56,2018-07-01T18:59:07,0.61,Rain Partially cloudy,Partly cloudy throughout the day with rain in the morning and afternoon.,rain,remote
Luwero Uganda,2019-07-01,79.8,61.6,68.5,79.8,61.6,68.5,65.2,90.2,0.052,100,20.83,rain,0,0,17.4,5.8,164.0,1014.5,88.9,,199.9,17.2,8,,2019-07-01T06:48:54,2019-07-01T18:59:05,0.95,Rain Partially cloudy,Partly cloudy throughout the day with afternoon rain.,rain,remote
Luwero Uganda,2020-07-01,82.8,63.6,70.6,85.6,63.6,70.9,64.3,81.4,0.059,100,8.33,rain,0,0,22.1,6.7,192.5,1013.1,96.2,,221.2,19.2,8,,2020-07-01T06:49:03,2020-07-01T18:59:14,0.36,Rain Overcast,Cloudy skies throughout the day with afternoon rain.,rain,remote
Luwero Uganda,2021-07-01,80.0,62.7,69.7,80.0,62.7,69.7,63.9,83.4,0.012,100,12.5,rain,0,0,13.2,4.7,135.0,1016.1,52.4,,226.7,19.5,8,,2021-07-01T06:49:01,2021-07-01T18:59:12,0.72,Rain Partially cloudy,Clearing in the afternoon with afternoon rain.,rain,remote
Luwero Uganda,2022-07-01,81.4,61.4,70.9,82.4,61.4,71.1,61.9,75.2,0.008,100,8.33,rain,0,0,19.0,9.2,176.9,1014.1,32.6,6.2,210.0,18.1,7,,2022-07-01T06:48:59,2022-07-01T18:59:10,0.08,Rain Partially cloudy,Partly cloudy throughout the day with rain in the morning and afternoon.,rain,remote
Luwero Uganda,2023-07-01,81.1,62.5,70.2,84.0,62.5,70.4,65.8,87.1,0.059,100,25.0,rain,0,0,18.6,7.4,163.2,1015.7,94.8,13.7,217.8,18.7,8,10.0,2023-07-01T06:48:57,2023-07-01T18:59:08,0.43,Rain Overcast,Cloudy skies throughout the day with rain in the morning and afternoon.,rain,remote
Luwero Uganda,2024-07-01,83.9,62.9,73.1,83.8,62.9,73.3,61.7,69.7,0.008,100,8.33,rain,0,0,18.8,7.4,172.4,1014.5,89.7,13.7,231.6,20.0,8,10.0,2024-07-01T06:49:07,2024-07-01T18:59:17,0.84,Rain Partially cloudy,Partly cloudy throughout the day with rain in the morning and afternoon.,rain,remote
Luwero Uganda,2025-07-01,76.0,63.6,68.5,76.0,63.6,68.5,63.2,83.5,0.173,100,37.5,rain,0,0,15.9,6.0,196.8,1015.8,88.3,6.0,156.7,13.6,6,,2025-07-01T06:49:05,2025-07-01T18:59:16,0.19,Rain Partially cloudy,Partly cloudy throughout the day with rain in the morning and afternoon.,rain,remote
